Away,Home
Rockford University,    Western Illinois
District of Columbia,    Howard
North American University,    Prairie View A&M
Pittsburgh - Greensburg,    Robert Morris
Davidson,    Wright State
Piedmont,    Winthrop
American University,    Marist
Hampton,    James Madison
UT Martin,    Youngstown State
Mercy,    Fairleigh Dickinson
Cairn University,    Norfolk State
Mobile,    South Alabama
Champion Christian College,    Arkansas-Pine Bluff
Missouri Science & Technology,    Missouri State
IUPUI,    Drake
Western Colorado,    Utah Valley
Kansas City,    LSU
Lipscomb,    South Dakota
Monmouth,    Seton Hall
South Dakota State,    Boise State
San Diego Christian,    Grand Canyon
California Maritime,    UC Davis
Bellarmine,    Louisville
Puget Sound,    Seattle U
Florida Gulf Coast,    San Diego
Florida A&M,    Portland
